epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.81253,1.28448,3.34434,1.70685,0.00934,0.53846,0.0518,0.03413,1.14077,3.64985,1.70907,1.667e-05,1.667e-05,1.667e-05
2,15.6266,1.38407,3.32166,1.72113,0.0089,0.5,0.06335,0.03679,1.02577,3.60113,1.58503,4.90198e-05,4.90198e-05,4.90198e-05
3,21.3812,1.20906,3.15875,1.54318,0.01267,0.73077,0.13906,0.08953,0.96992,3.53969,1.47967,8.00493e-05,8.00493e-05,8.00493e-05
4,27.0354,1.04262,3.17356,1.43235,0.01286,0.88462,0.27637,0.19677,1.02397,3.5036,1.47984,0.000109759,0.000109759,0.000109759
5,32.6789,0.98623,2.8384,1.32637,0.0117,0.88462,0.3418,0.22066,0.97561,3.45661,1.41449,0.000138148,0.000138148,0.000138148
6,38.4843,1.02966,2.65441,1.3777,0.01117,0.92308,0.48337,0.30509,0.93683,3.40091,1.34674,0.000165216,0.000165216,0.000165216
7,44.156,1.05792,2.7267,1.49267,0.01116,0.96154,0.57478,0.40237,0.89083,3.32974,1.27786,0.000190965,0.000190965,0.000190965
8,50.0296,0.92344,2.20802,1.3255,0.01139,1,0.65007,0.46877,0.84843,3.22194,1.22112,0.000215393,0.000215393,0.000215393
9,55.7672,0.94777,2.10945,1.29474,0.01107,0.96154,0.73838,0.54254,0.8289,3.02597,1.18085,0.000238501,0.000238501,0.000238501
10,61.5093,0.76182,1.78496,1.19491,0.92354,0.46475,0.73818,0.53812,0.82714,2.76938,1.21438,0.000260289,0.000260289,0.000260289
11,67.2835,0.85305,1.68896,1.21936,0.8435,0.62218,0.77822,0.48188,0.91351,2.63529,1.28591,0.000280756,0.000280756,0.000280756
12,72.971,0.89338,1.46598,1.30685,0.8435,0.62218,0.77822,0.48188,0.91351,2.63529,1.28591,0.000299903,0.000299903,0.000299903
13,78.7038,0.81294,1.68781,1.237,0.87308,0.61538,0.78349,0.50074,0.95398,2.57526,1.25745,0.00031773,0.00031773,0.00031773
14,84.4608,0.81563,1.23266,1.17292,0.84101,0.61058,0.82456,0.55976,0.9351,2.56284,1.24702,0.000334237,0.000334237,0.000334237
15,90.1983,0.77073,1.34699,1.15501,0.84101,0.61058,0.82456,0.55976,0.9351,2.56284,1.24702,0.000349423,0.000349423,0.000349423
16,96.0161,0.68519,1.20637,1.13101,0.97117,0.61538,0.81308,0.60765,0.86554,2.5567,1.16126,0.000363289,0.000363289,0.000363289
17,101.874,0.77418,1.28731,1.16962,1,0.64499,0.85025,0.66418,0.89927,2.60029,1.17718,0.000375835,0.000375835,0.000375835
18,107.689,0.72745,1.18096,1.15757,1,0.64499,0.85025,0.66418,0.89927,2.60029,1.17718,0.000387061,0.000387061,0.000387061
19,113.59,0.78995,1.17892,1.14453,0.94352,0.64299,0.84207,0.59654,1.06647,2.59676,1.27895,0.000396966,0.000396966,0.000396966
20,119.412,0.75548,1.13811,1.11597,0.94352,0.64299,0.84207,0.59654,1.06647,2.59676,1.27895,0.000405551,0.000405551,0.000405551
21,125.312,0.78577,1.32021,1.15907,0.94072,0.61059,0.78022,0.61769,0.89583,2.43844,1.1974,0.000412816,0.000412816,0.000412816
22,131.238,0.74604,1.06786,1.09033,0.94072,0.61059,0.78022,0.61769,0.89583,2.43844,1.1974,0.00041876,0.00041876,0.00041876
23,137.157,0.58303,1.21348,1.04772,0.84538,0.61538,0.82887,0.6556,0.9234,2.26411,1.19019,0.000423385,0.000423385,0.000423385
24,143.019,0.58933,1.00096,1.03507,0.84538,0.61538,0.82887,0.6556,0.9234,2.26411,1.19019,0.000426689,0.000426689,0.000426689
25,148.992,0.70732,1.06862,1.10802,0.87789,0.65385,0.82943,0.62853,0.92824,2.2885,1.19089,0.000428672,0.000428672,0.000428672
26,154.92,0.61588,1.05763,1.024,0.87789,0.65385,0.82943,0.62853,0.92824,2.2885,1.19089,0.000429336,0.000429336,0.000429336
27,160.99,0.61888,1.03476,1.04166,0.87789,0.65385,0.82943,0.62853,0.92824,2.2885,1.19089,0.000428679,0.000428679,0.000428679
28,166.889,0.65581,1.00379,1.06214,1,0.62531,0.86926,0.64448,0.84224,2.18783,1.09729,0.000426702,0.000426702,0.000426702
29,172.75,0.6556,1.03445,1.08733,1,0.62531,0.86926,0.64448,0.84224,2.18783,1.09729,0.000423405,0.000423405,0.000423405
30,178.637,0.7209,1.08194,1.10765,0.9653,0.73077,0.89583,0.65946,0.87589,2.07507,1.13236,0.000418787,0.000418787,0.000418787
31,184.478,0.58647,0.92551,0.98011,0.9653,0.73077,0.89583,0.65946,0.87589,2.07507,1.13236,0.000412849,0.000412849,0.000412849
32,190.345,0.68965,1.00649,1.1239,0.9653,0.73077,0.89583,0.65946,0.87589,2.07507,1.13236,0.000405591,0.000405591,0.000405591
33,196.295,0.66216,1.0322,1.06771,0.90675,0.73077,0.89461,0.68307,0.82933,2.02863,1.11937,0.000397013,0.000397013,0.000397013
34,202.154,0.54011,1.05279,1.07435,0.90675,0.73077,0.89461,0.68307,0.82933,2.02863,1.11937,0.000387114,0.000387114,0.000387114
35,208.001,0.74316,1.09736,1.15241,0.90675,0.73077,0.89461,0.68307,0.82933,2.02863,1.11937,0.000375895,0.000375895,0.000375895
36,213.889,0.67576,0.96591,1.03166,1,0.83001,0.94837,0.71745,0.77276,1.98864,1.10879,0.000363356,0.000363356,0.000363356
37,219.727,0.64559,0.91804,1.00031,1,0.83001,0.94837,0.71745,0.77276,1.98864,1.10879,0.000349497,0.000349497,0.000349497
38,225.571,0.75707,1.04433,1.08917,1,0.83001,0.94837,0.71745,0.77276,1.98864,1.10879,0.000334317,0.000334317,0.000334317
39,231.413,0.60519,0.88543,0.95725,1,0.82547,0.96752,0.73036,0.75585,1.98925,1.08089,0.000317817,0.000317817,0.000317817
40,237.181,0.66665,0.93009,1.07494,1,0.82547,0.96752,0.73036,0.75585,1.98925,1.08089,0.000299997,0.000299997,0.000299997
41,242.966,0.55982,1.04695,0.98702,1,0.82547,0.96752,0.73036,0.75585,1.98925,1.08089,0.000280856,0.000280856,0.000280856
42,248.748,0.49186,1.07828,0.92448,1,0.80696,0.98018,0.75913,0.74186,1.97718,1.0597,0.000260395,0.000260395,0.000260395
43,254.508,0.56487,1.13814,1.00666,1,0.80696,0.98018,0.75913,0.74186,1.97718,1.0597,0.000238614,0.000238614,0.000238614
44,260.294,0.48178,0.98714,0.91989,1,0.80696,0.98018,0.75913,0.74186,1.97718,1.0597,0.000215513,0.000215513,0.000215513
45,266.037,0.46737,1.04272,0.87251,1,0.80696,0.98018,0.75913,0.74186,1.97718,1.0597,0.000191092,0.000191092,0.000191092
46,271.836,0.56195,1.0524,0.95085,1,0.79596,0.983,0.76471,0.75788,1.94085,1.07493,0.00016535,0.00016535,0.00016535
47,277.779,0.46743,0.97112,0.92536,1,0.79596,0.983,0.76471,0.75788,1.94085,1.07493,0.000138288,0.000138288,0.000138288
48,283.653,0.49354,0.98461,0.94945,1,0.79596,0.983,0.76471,0.75788,1.94085,1.07493,0.000109905,0.000109905,0.000109905
49,289.463,0.48963,0.96291,0.94732,1,0.79596,0.983,0.76471,0.75788,1.94085,1.07493,8.02027e-05,8.02027e-05,8.02027e-05
50,295.296,0.47642,1.01845,0.89572,1,0.84517,0.97762,0.78605,0.75599,1.80229,1.07373,4.91798e-05,4.91798e-05,4.91798e-05
